2016 Federal Election House of Representatives First Preferences By Party [Please Note: These results are not final. Event:20499 Phase:PostElection Generated:2016-07-11T13:49:20 Cycle:aea4fe1b-bd09-4e11-959e-1da89be8c677 Created:2016-07-11T13:46:40 Environment:PROD Site:CDC Server:DB01 Version:10.4.37.36662]

PartyAb,PartyNm,OrderOfAppearance,Contested,Nominations,Elected,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,PrePollVotes,PrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage,TotalSwing

LP,Liberal,1,107,107,0,3175076,28.39,16411,23.86,0,0,4985,36.58,207369,31.98,3403841,28.57,-3.45

LNP,Liberal National Party,2,30,30,0,923598,8.26,7084,10.3,0,0,1264,9.28,73399,11.32,1005345,8.44,-0.48

NP,The Nationals,3,22,22,1,552928,4.94,611,0.89,0,0,0,0,27198,4.19,580737,4.87,0.58

CLP,Country Liberals (NT),4,2,2,0,28202,0.25,298,0.43,0,0,0,0,1714,0.26,30214,0.25,-0.07

ALP,Australian Labor Party,5,150,150,0,3956012,35.38,24201,35.19,0,0,4228,31.03,201203,31.03,4185644,35.13,1.75

GRN,The Greens,6,150,150,0,1107508,9.9,8959,13.03,0,0,1322,9.7,48037,7.41,1165826,9.79,1.14

PUP,Palmer United Party,7,1,1,0,259,0,7,0.01,0,0,0,0,14,0,280,0,-5.49

KAP,Katter's Australian Party,8,12,12,0,59703,0.53,201,0.29,0,0,26,0.19,4023,0.62,63953,0.54,-0.5

FFP,Family First,9,65,65,0,161523,1.44,1939,2.82,0,0,314,2.3,10496,1.62,174272,1.46,0.05

CDP,Christian Democratic Party,10,55,55,0,152577,1.36,764,1.11,0,0,55,0.4,6613,1.02,160009,1.34,0.65

ASXP,Australian Sex Party,11,6,6,0,9592,0.09,31,0.05,0,0,0,0,412,0.06,10035,0.08,-0.53

RUA,Rise Up Australia Party,12,31,31,0,55199,0.49,304,0.44,0,0,65,0.48,3556,0.55,59124,0.5,0.12

AUC,Australian Christians,13,18,18,0,34960,0.31,471,0.68,0,0,95,0.7,1812,0.28,37338,0.31,-0.02

