2007 Federal Election House of Representatives First Preferences by Vote Type by Party by State [Event:13745 Phase:FinalResults Generated:2008-09-03T12:42:05 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0],,,,,,,,,,,,,,,,,,,
StateAb,PartyAb,PartyNm,OrderOfAppearance,Contested,Nominations,Elected,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,PrePollVotes,PrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage,TotalSwing
NSW,ALP,Australian Labor Party,1,49,49,28,1462283,44.75,96073,41.63,3911,50.58,147924,41.88,80980,40.43,1791171,44.12,7.42
NSW,LP,Liberal,2,40,40,15,1055415,32.3,73963,32.05,2139,27.66,114732,32.48,78062,38.98,1324311,32.62,-3.54
NSW,NP,The Nationals,3,9,9,5,254651,7.79,13888,6.02,360,4.66,34803,9.85,17480,8.73,321182,7.91,-1.28
NSW,GRN,The Greens,4,49,49,0,254742,7.8,26542,11.5,776,10.04,27429,7.77,10542,5.26,320031,7.88,-0.21
NSW,ON,One Nation,5,8,8,0,6651,0.2,633,0.27,10,0.13,757,0.21,375,0.19,8426,0.21,-1.19
NSW,CDP,CDP Christian Party,6,44,44,0,62757,1.92,5521,2.39,158,2.04,5918,1.68,3549,1.77,77903,1.92,0.7
NSW,DEM,Democrats,7,12,12,0,8655,0.26,896,0.39,23,0.3,985,0.28,547,0.27,11106,0.27,-0.8
NSW,FFP,Family First,8,32,32,0,27744,0.85,3188,1.38,116,1.5,3018,0.85,1403,0.7,35469,0.87,0.1
NSW,CEC,Citizens Electoral Council,9,24,24,0,6967,0.21,803,0.35,22,0.28,955,0.27,298,0.15,9045,0.22,-0.08
NSW,CCC,Climate Change Coalition,10,7,7,0,7364,0.23,769,0.33,20,0.26,896,0.25,421,0.21,9470,0.23,0.23
NSW,CCE,Conservatives for Climate and Environment Incorporated,11,3,3,0,1516,0.05,128,0.06,3,0.04,292,0.08,135,0.07,2074,0.05,0.05
NSW,LDP,Liberty and Democracy Party,12,12,12,0,3562,0.11,483,0.21,7,0.09,605,0.17,249,0.12,4906,0.12,0.12
NSW,NCP,Non-Custodial Parents Party,13,2,2,0,617,0.02,53,0.02,0,0,94,0.03,31,0.02,795,0.02,-0.01
NSW,SAL,Socialist Alliance,14,5,5,0,3220,0.1,387,0.17,11,0.14,273,0.08,79,0.04,3970,0.1,-0.01
NSW,SEP,Socialist Equality Party,15,6,6,0,2738,0.08,330,0.14,14,0.18,260,0.07,93,0.05,3435,0.08,0.08
NSW,FPY,The Fishing Party,16,1,1,0,778,0.02,113,0.05,1,0.01,115,0.03,66,0.03,1073,0.03,-0.04
NSW,IND,Independent,17,26,38,1,107306,3.28,6941,3.01,157,2.03,14093,3.99,5927,2.96,134424,3.31,-0.65
NSW,NAFD,Non Affiliated,18,3,3,0,498,0.02,92,0.04,4,0.05,63,0.02,38,0.02,695,0.02,-0.02
VIC,LP,Liberal,1,35,35,14,918141,37.45,65938,36.07,1474,27.72,124179,38.92,97260,46.23,1206992,38.09,-5.15
VIC,ALP,Australian Labor Party,2,37,37,21,1117795,45.6,74941,40.99,2847,53.54,135312,42.41,85357,40.58,1416252,44.69,4.24
VIC,GRN,The Greens,3,37,37,0,195145,7.96,24264,13.27,491,9.23,26476,8.3,12478,5.93,258854,8.17,0.72
VIC,NP,The Nationals,4,2,2,2,74469,3.04,2790,1.53,55,1.03,13321,4.18,5224,2.48,95859,3.02,-0.49
VIC,FFP,Family First,5,37,37,0,75093,3.06,6777,3.71,201,3.78,9480,2.97,4118,1.96,95669,3.02,0.64
VIC,DEM,Democrats,6,33,33,0,28117,1.15,3579,1.96,81,1.52,4206,1.32,2831,1.35,38814,1.22,0.15
VIC,CEC,Citizens Electoral Council,7,22,22,0,6362,0.26,977,0.53,43,0.81,862,0.27,412,0.2,8656,0.27,-0.2
VIC,ON,One Nation,8,1,1,0,288,0.01,54,0.03,2,0.04,41,0.01,48,0.02,433,0.01,-0.13
