2010 Federal Election House of Representatives First Preferences by Vote Type by Party by State [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:22 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009],,,,,,,,,,,,,,,,,,,
StateAb,PartyAb,PartyNm,OrderOfAppearance,Contested,Nominations,Elected,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,PrePollVotes,PrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage,TotalSwing
NSW,ALP,Australian Labor Party,1,48,48,26,1296546,37.66,71352,35.23,5256,42.15,50030,33.62,71306,35.1,1494490,37.28,-6.84
NSW,LP,Liberal,2,41,41,16,1256441,36.5,69560,34.35,4108,32.94,55986,37.63,84051,41.38,1470146,36.67,4.05
NSW,NP,The Nationals,3,10,10,4,279781,8.13,10930,5.4,534,4.28,8945,6.01,17677,8.7,317867,7.93,0.02
NSW,GRN,The Greens,4,48,48,0,339334,9.86,32045,15.82,1628,13.05,21761,14.62,15637,7.7,410405,10.24,2.36
NSW,CDP,CDP Christian Party,5,26,26,0,46457,1.35,3374,1.67,186,1.49,1840,1.24,2687,1.32,54544,1.36,-0.56
NSW,FFP,Family First,6,16,16,0,14094,0.41,1562,0.77,83,0.67,847,0.57,867,0.43,17453,0.44,-0.43
NSW,DEM,Democrats,7,12,12,0,9208,0.27,814,0.4,41,0.33,665,0.45,681,0.34,11409,0.28,0.01
NSW,CEC,Citizens Electoral Council,8,2,2,0,975,0.03,77,0.04,5,0.04,71,0.05,59,0.03,1187,0.03,-0.19
NSW,ON,One Nation,9,14,14,0,15864,0.46,1495,0.74,71,0.57,773,0.52,979,0.48,19182,0.48,0.27
NSW,LDP,Liberal Democrats (LDP),10,9,9,0,6697,0.19,1001,0.49,42,0.34,753,0.51,435,0.21,8928,0.22,0.1
NSW,SAL,Socialist Alliance,11,4,4,0,2981,0.09,259,0.13,8,0.06,121,0.08,115,0.06,3484,0.09,-0.01
NSW,SEP,Socialist Equality Party,12,7,7,0,7413,0.22,923,0.46,74,0.59,444,0.3,252,0.12,9106,0.23,0.15
NSW,NCP,Non-Custodial Parents Party,13,2,2,0,2437,0.07,206,0.1,3,0.02,84,0.06,105,0.05,2835,0.07,0.05
NSW,AFN,Australia First Party (NSW) Incorporated,14,4,4,0,2882,0.08,272,0.13,10,0.08,85,0.06,126,0.06,3375,0.08,0.08
NSW,ASXP,Australian Sex Party,15,2,2,0,2536,0.07,333,0.16,10,0.08,175,0.12,126,0.06,3180,0.08,0.08
NSW,BAP,Building Australia Party,16,3,3,0,1244,0.04,146,0.07,3,0.02,47,0.03,57,0.03,1497,0.04,0.04
NSW,CA,Carers Alliance,17,3,3,0,1171,0.03,102,0.05,3,0.02,57,0.04,125,0.06,1458,0.04,0.04
NSW,CAL,Communist Alliance,18,1,1,0,524,0.02,64,0.03,5,0.04,30,0.02,33,0.02,656,0.02,0.02
NSW,SPA,Secular Party of Australia,19,6,6,0,2928,0.09,214,0.11,11,0.09,204,0.14,172,0.08,3529,0.09,0.09
NSW,TCS,The Climate Sceptics,20,1,1,0,212,0.01,22,0.01,2,0.02,18,0.01,21,0.01,275,0.01,0.01
NSW,IND,Independent,21,23,37,2,151535,4.4,7668,3.79,383,3.07,5780,3.88,7555,3.72,172921,4.31,1
NSW,NAFD,Non Affiliated,22,3,3,0,1139,0.03,93,0.05,5,0.04,82,0.06,72,0.04,1391,0.03,0.01
VIC,ALP,Australian Labor Party,1,37,37,22,1145066,43.5,65746,39.45,4350,48.7,49633,37.31,96621,40.42,1361416,42.81,-1.88
VIC,LP,Liberal,2,35,35,12,948665,36.04,52621,31.58,2444,27.36,51640,38.82,103931,43.48,1159301,36.45,-1.64
VIC,GRN,The Greens,3,37,37,1,322762,12.26,34258,20.56,1414,15.83,21279,16,22769,9.53,402482,12.66,4.49
VIC,NP,The Nationals,4,2,2,2,90003,3.42,2498,1.5,129,1.44,3656,2.75,5133,2.15,101419,3.19,0.17
VIC,FFP,Family First,5,37,37,0,81165,3.08,7440,4.46,456,5.1,3970,2.98,6716,2.81,99747,3.14,0.12
VIC,DEM,Democrats,6,5,5,0,3018,0.11,322,0.19,6,0.07,262,0.2,339,0.14,3947,0.12,-1.1
VIC,CEC,Citizens Electoral Council,7,2,2,0,769,0.03,64,0.04,4,0.04,35,0.03,50,0.02,922,0.03,-0.24
VIC,LDP,Liberal Democrats (LDP),8,5,5,0,5871,0.22,788,0.47,13,0.15,614,0.46,553,0.23,7839,0.25,0.15
VIC,SAL,Socialist Alliance,9,3,3,0,1832,0.07,150,0.09,11,0.12,113,0.08,119,0.05,2225,0.07,0
VIC,CDP,CDP Christian Party,10,1,1,0,551,0.02,28,0.02,0,0,21,0.02,32,0.01,632,0.02,-0.02
VIC,SEP,Socialist Equality Party,11,2,2,0,1333,0.05,181,0.11,5,0.06,60,0.05,77,0.03,1656,0.05,0.03
VIC,AFN,Australia First Party (NSW) Incorporated,12,1,1,0,233,0.01,24,0.01,1,0.01,8,0.01,29,0.01,295,0.01,0.01
VIC,ASXP,Australian Sex Party,13,3,3,0,4508,0.17,733,0.44,33,0.37,322,0.24,427,0.18,6023,0.19,0.19
