2013 Federal Election House of Representatives First Preferences by Vote Type by Party by State [Event:17496 Phase:FinalResults Generated:2014-10-10T11:47:33 Cycle:d68da7af-d1b4-4e15-9884-37233f72ad6c Created:2013-12-05T15:24:22 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449],,,,,,,,,,,,,,,,,,,
StateAb,PartyAb,PartyNm,OrderOfAppearance,Contested,Nominations,Elected,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,PrePollVotes,PrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage,TotalSwing
NSW,ALP,Australian Labor Party,1,48,48,18,1232977,34.88,57499,34.09,5045,41.52,45988,32.07,92333,31.37,1433842,34.52,-2.76
NSW,LP,Liberal,2,39,39,23,1304177,36.89,58290,34.56,3909,32.17,53940,37.61,131120,44.55,1551436,37.35,0.68
NSW,NP,The Nationals,3,10,10,7,366761,10.37,10512,6.23,759,6.25,11602,8.09,25138,8.54,414772,9.99,2.06
NSW,GRN,The Greens,4,48,48,0,271947,7.69,20388,12.09,1120,9.22,16382,11.42,20213,6.87,330050,7.95,-2.29
NSW,KAP,Katter's Australian Party,5,15,15,0,13513,0.38,905,0.54,51,0.42,757,0.53,1308,0.44,16534,0.4,0.4
NSW,CDP,Christian Democratic Party,6,48,48,0,74391,2.1,4562,2.71,315,2.59,3139,2.19,6169,2.1,88576,2.13,0.77
NSW,PUP,Palmer United Party,7,48,48,0,150726,4.26,8885,5.27,484,3.98,6134,4.28,8322,2.83,174551,4.2,4.2
NSW,DLP,DLP - Democratic Labour Party,8,17,17,0,13661,0.39,1196,0.71,74,0.61,947,0.66,1031,0.35,16909,0.41,0.41
NSW,ON,One Nation,9,11,11,0,16129,0.46,939,0.56,67,0.55,626,0.44,1756,0.6,19517,0.47,-0.01
NSW,AFN,Australia First Party (NSW) Incorporated,10,8,8,0,5033,0.14,362,0.21,24,0.2,253,0.18,412,0.14,6084,0.15,0.07
NSW,BTA,Bullet Train For Australia,11,7,7,0,6581,0.19,505,0.3,25,0.21,425,0.3,638,0.22,8174,0.2,0.2
NSW,CEC,Citizens Electoral Council,12,7,7,0,3363,0.1,304,0.18,16,0.13,154,0.11,220,0.07,4057,0.1,0.07
NSW,RUA,Rise Up Australia Party,13,7,7,0,4597,0.13,260,0.15,15,0.12,221,0.15,356,0.12,5449,0.13,0.13
NSW,SPP,Stable Population Party,14,4,4,0,1830,0.05,107,0.06,4,0.03,90,0.06,214,0.07,2245,0.05,0.05
NSW,AIN,Australian Independents,15,3,3,0,1600,0.05,175,0.1,8,0.07,126,0.09,183,0.06,2092,0.05,0.05
