2016 Federal Election House of Representatives First Preferences by Vote Type by Party by State [Please Note: These results are not final. Event:20499 Phase:PostElection Generated:2016-07-11T13:49:20 Cycle:aea4fe1b-bd09-4e11-959e-1da89be8c677 Created:2016-07-11T13:46:40 Environment:PROD Site:CDC Server:DB01 Version:10.4.37.36662]

StateAb,PartyAb,PartyNm,OrderOfAppearance,Contested,Nominations,Elected,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,DeclarationPrePollVotes,DeclarationPrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage,TotalSwing

NSW,LP,Liberal,1,38,38,0,1205327,32.20,3954,30.05,0,0.00,361,41.83,62761,38.04,1272403,32.44,-4.91

NSW,NP,The Nationals,2,10,10,0,375079,10.02,222,1.69,0,0.00,0,0.00,18924,11.47,394225,10.05,+0.06

NSW,ALP,Australian Labor Party,3,47,47,0,1401381,37.44,5650,42.94,0,0.00,322,37.31,50970,30.90,1458323,37.18,+2.66

NSW,GRN,The Greens,4,47,47,0,322567,8.62,1298,9.87,0,0.00,76,8.81,11570,7.01,335511,8.55,+0.60

NSW,CDP,Christian Democratic Party,5,47,47,0,145794,3.90,639,4.86,0,0.00,38,4.40,6128,3.71,152599,3.89,+1.76

NSW,ON,One Nation,6,3,3,0,23718,0.63,110,0.84,0,0.00,0,0.00,1132,0.69,24960,0.64,+0.17

NSW,DLP,DLP - Democratic Labour Party,7,1,1,0,820,0.02,12,0.09,0,0.00,0,0.00,16,0.01,848,0.02,-0.39

NSW,BTA,Bullet Train For Australia,8,1,1,0,1800,0.05,0,0.00,0,0.00,0,0.00,161,0.10,1961,0.05,-0.15

NSW,AFN,Australia First Party (NSW) Incorporated,9,2,2,0,2329,0.06,8,0.06,0,0.00,0,0.00,143,0.09,2480,0.06,-0.09

NSW,RUA,Rise Up Australia Party,10,1,1,0,834,0.02,8,0.06,0,0.00,0,0.00,46,0.03,888,0.02,-0.11

NSW,CEC,Citizens Electoral Council,11,3,3,0,2343,0.06,5,0.04,0,0.00,0,0.00,133,0.08,2481,0.06,-0.04

NSW,ASXP,Australian Sex Party,12,2,2,0,1828,0.05,0,0.00,0,0.00,0,0.00,46,0.03,1874,0.05,-0.03

NSW,NCP,Non-Custodial Parents Party,13,2,2,0,3165,0.08,0,0.00,0,0.00,0,0.00,125,0.08,3290,0.08,+0.05

NSW,SPP,Sustainable Australia,14,1,1,0,410,0.01,0,0.00,0,0.00,0,0.00,12,0.01,422,0.01,-0.04

NSW,SAL,Socialist Alliance,15,1,1,0,408,0.01,0,0.00,0,0.00,0,0.00,6,0.00,414,0.01,-0.02

NSW,FUT,Science Party,16,10,10,0,12179,0.33,42,0.32,0,0.00,0,0.00,506,0.31,12727,0.32,+0.30

NSW,AJP,Animal Justice Party,17,9,9,0,16926,0.45,103,0.78,0,0.00,15,1.74,1056,0.64,18100,0.46,+0.46

NSW,AAPP,Australian Antipaedophile Party,18,1,1,0,1212,0.03,0,0.00,0,0.00,0,0.00,102,0.06,1314,0.03,+0.03

NSW,CYC,Australian Cyclists Party,19,1,1,0,379,0.01,0,0.00,0,0.00,0,0.00,6,0.00,385,0.01,+0.01

NSW,ADVP,Australian Defence Veterans Party,20,1,1,0,1207,0.03,0,0.00,0,0.00,0,0.00,108,0.07,1315,0.03,+0.03

NSW,ALA,Australian Liberty Alliance,21,4,4,0,10179,0.27,91,0.69,0,0.00,0,0.00,424,0.26,10694,0.27,+0.27

NSW,CM,CountryMinded,22,1,1,0,1142,0.03,0,0.00,0,0.00,0,0.00,67,0.04,1209,0.03,+0.03

NSW,DHJP,Derryn Hinch's Justice Party,23,2,2,0,2587,0.07,35,0.27,0,0.00,0,0.00,226,0.14,2848,0.07,+0.07

NSW,DRF,Drug Law Reform,24,2,2,0,3623,0.10,55,0.42,0,0.00,0,0.00,73,0.04,3751,0.10,+0.10

NSW,FFP,Family First,25,7,7,0,9365,0.25,114,0.87,0,0.00,21,2.43,557,0.34,10057,0.26,+0.26

NSW,LDP,Liberal Democrats (LDP),26,8,8,0,16393,0.44,73,0.55,0,0.00,0,0.00,866,0.52,17332,0.44,+0.44

NSW,MAP,Mature Australia Party,27,1,1,0,1530,0.04,22,0.17,0,0.00,0,0.00,54,0.03,1606,0.04,+0.04

NSW,XEN,Nick Xenophon Team,28,4,4,0,13930,0.37,80,0.61,0,0.00,0,0.00,797,0.48,14807,0.38,+0.38

NSW,SOL,Online Direct Democracy,29,6,6,0,4721,0.13,0,0.00,0,0.00,0,0.00,219,0.13,4940,0.13,+0.13

NSW,PIR,Pirate Party,30,1,1,0,966,0.03,22,0.17,0,0.00,5,0.58,65,0.04,1058,0.03,+0.03

