2013 Federal Election House of Representatives Two Candidate Preferred Preference Flow By State By Party [Event:17496 Phase:FinalResults Generated:2014-10-10T11:48:36 Cycle:d68da7af-d1b4-4e15-9884-37233f72ad6c Created:2013-12-05T15:24:22 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449],,,,,,,,,,
State,FromPartyGroupID,FromPartyGroupAb,FromPartyGroupNm,FromPartyOrderOfAppearance,ToPartyGroupID,ToPartyDisplayAb,ToPartyGroupNm,ToPartyOrderOfAppearance,TransferVotes,TransferPercentage
NSW,2,ALP,Australian Labor Party,1,2,ALP,Australian Labor Party,1,0,0
NSW,2,ALP,Australian Labor Party,1,4,LP,Liberal,2,0,0
NSW,2,ALP,Australian Labor Party,1,20,NP,The Nationals,3,2666,24.63
NSW,2,ALP,Australian Labor Party,1,40,IND,Independent,22,8159,75.37
NSW,20,NP,The Nationals,3,2,ALP,Australian Labor Party,1,2612,30.59
NSW,20,NP,The Nationals,3,4,LP,Liberal,2,5927,69.41
NSW,20,NP,The Nationals,3,20,NP,The Nationals,3,0,0
NSW,20,NP,The Nationals,3,40,IND,Independent,22,0,0
NSW,37,GRN,The Greens,4,2,ALP,Australian Labor Party,1,269757,81.73
NSW,37,GRN,The Greens,4,4,LP,Liberal,2,44251,13.41
NSW,37,GRN,The Greens,4,20,NP,The Nationals,3,12641,3.83
NSW,37,GRN,The Greens,4,40,IND,Independent,22,3401,1.03
NSW,100573,KAP,Katter's Australian Party,5,2,ALP,Australian Labor Party,1,6673,40.36
NSW,100573,KAP,Katter's Australian Party,5,4,LP,Liberal,2,7884,47.68
NSW,100573,KAP,Katter's Australian Party,5,20,NP,The Nationals,3,1977,11.96
NSW,100573,KAP,Katter's Australian Party,5,40,IND,Independent,22,0,0
NSW,11,CDP,Christian Democratic Party,6,2,ALP,Australian Labor Party,1,24803,28
NSW,11,CDP,Christian Democratic Party,6,4,LP,Liberal,2,51819,58.5
NSW,11,CDP,Christian Democratic Party,6,20,NP,The Nationals,3,11425,12.9
NSW,11,CDP,Christian Democratic Party,6,40,IND,Independent,22,529,0.6
NSW,100574,PUP,Palmer United Party,7,2,ALP,Australian Labor Party,1,78703,45.09
NSW,100574,PUP,Palmer United Party,7,4,LP,Liberal,2,65479,37.51
NSW,100574,PUP,Palmer United Party,7,20,NP,The Nationals,3,27460,15.73
NSW,100574,PUP,Palmer United Party,7,40,IND,Independent,22,2909,1.67
NSW,32,DLP,DLP - Democratic Labour Party,8,2,ALP,Australian Labor Party,1,9629,56.95
NSW,32,DLP,DLP - Democratic Labour Party,8,4,LP,Liberal,2,5169,30.57
NSW,32,DLP,DLP - Democratic Labour Party,8,20,NP,The Nationals,3,2111,12.48
NSW,32,DLP,DLP - Democratic Labour Party,8,40,IND,Independent,22,0,0
NSW,1082,ON,One Nation,9,2,ALP,Australian Labor Party,1,8345,42.76
NSW,1082,ON,One Nation,9,4,LP,Liberal,2,5514,28.25
NSW,1082,ON,One Nation,9,20,NP,The Nationals,3,4730,24.24
NSW,1082,ON,One Nation,9,40,IND,Independent,22,928,4.75
NSW,49258,AFN,Australia First Party (NSW) Incorporated,10,2,ALP,Australian Labor Party,1,2430,39.94
NSW,49258,AFN,Australia First Party (NSW) Incorporated,10,4,LP,Liberal,2,2187,35.95
NSW,49258,AFN,Australia First Party (NSW) Incorporated,10,20,NP,The Nationals,3,1467,24.11
NSW,49258,AFN,Australia First Party (NSW) Incorporated,10,40,IND,Independent,22,0,0
NSW,100580,BTA,Bullet Train For Australia,11,2,ALP,Australian Labor Party,1,3939,48.19
NSW,100580,BTA,Bullet Train For Australia,11,4,LP,Liberal,2,2461,30.11
NSW,100580,BTA,Bullet Train For Australia,11,20,NP,The Nationals,3,1774,21.7
NSW,100580,BTA,Bullet Train For Australia,11,40,IND,Independent,22,0,0
NSW,1081,CEC,Citizens Electoral Council,12,2,ALP,Australian Labor Party,1,2298,56.64
NSW,1081,CEC,Citizens Electoral Council,12,4,LP,Liberal,2,695,17.13
NSW,1081,CEC,Citizens Electoral Council,12,20,NP,The Nationals,3,861,21.22
NSW,1081,CEC,Citizens Electoral Council,12,40,IND,Independent,22,203,5
NSW,100571,RUA,Rise Up Australia Party,13,2,ALP,Australian Labor Party,1,2324,42.65
NSW,100571,RUA,Rise Up Australia Party,13,4,LP,Liberal,2,2503,45.94
NSW,100571,RUA,Rise Up Australia Party,13,20,NP,The Nationals,3,622,11.41
NSW,100571,RUA,Rise Up Australia Party,13,40,IND,Independent,22,0,0
NSW,100566,SPP,Stable Population Party,14,2,ALP,Australian Labor Party,1,1181,52.61
NSW,100566,SPP,Stable Population Party,14,4,LP,Liberal,2,1064,47.39
NSW,100566,SPP,Stable Population Party,14,20,NP,The Nationals,3,0,0
NSW,100566,SPP,Stable Population Party,14,40,IND,Independent,22,0,0
NSW,100572,AIN,Australian Independents,15,2,ALP,Australian Labor Party,1,1231,58.84
NSW,100572,AIN,Australian Independents,15,4,LP,Liberal,2,861,41.16
NSW,100572,AIN,Australian Independents,15,20,NP,The Nationals,3,0,0
NSW,100572,AIN,Australian Independents,15,40,IND,Independent,22,0,0
NSW,16418,ASXP,Australian Sex Party,16,2,ALP,Australian Labor Party,1,2022,61.42
NSW,16418,ASXP,Australian Sex Party,16,4,LP,Liberal,2,1270,38.58
NSW,16418,ASXP,Australian Sex Party,16,20,NP,The Nationals,3,0,0
NSW,16418,ASXP,Australian Sex Party,16,40,IND,Independent,22,0,0
NSW,1094,NCP,Non-Custodial Parents Party,17,2,ALP,Australian Labor Party,1,784,58.86
NSW,1094,NCP,Non-Custodial Parents Party,17,4,LP,Liberal,2,548,41.14
NSW,1094,NCP,Non-Custodial Parents Party,17,20,NP,The Nationals,3,0,0
NSW,1094,NCP,Non-Custodial Parents Party,17,40,IND,Independent,22,0,0
NSW,1127,SAL,Socialist Alliance,18,2,ALP,Australian Labor Party,1,927,75.43
NSW,1127,SAL,Socialist Alliance,18,4,LP,Liberal,2,302,24.57
NSW,1127,SAL,Socialist Alliance,18,20,NP,The Nationals,3,0,0
NSW,1127,SAL,Socialist Alliance,18,40,IND,Independent,22,0,0
NSW,100567,FUT,Future Party,19,2,ALP,Australian Labor Party,1,453,65.37
NSW,100567,FUT,Future Party,19,4,LP,Liberal,2,240,34.63
NSW,100567,FUT,Future Party,19,20,NP,The Nationals,3,0,0
NSW,100567,FUT,Future Party,19,40,IND,Independent,22,0,0
NSW,49262,SPA,Secular Party of Australia,20,2,ALP,Australian Labor Party,1,405,67.28
NSW,49262,SPA,Secular Party of Australia,20,4,LP,Liberal,2,197,32.72
NSW,49262,SPA,Secular Party of Australia,20,20,NP,The Nationals,3,0,0
NSW,49262,SPA,Secular Party of Australia,20,40,IND,Independent,22,0,0
NSW,100569,VCE,Australian Voice Party,21,2,ALP,Australian Labor Party,1,249,45.69
NSW,100569,VCE,Australian Voice Party,21,4,LP,Liberal,2,296,54.31
NSW,100569,VCE,Australian Voice Party,21,20,NP,The Nationals,3,0,0
NSW,100569,VCE,Australian Voice Party,21,40,IND,Independent,22,0,0
NSW,40,IND,Independent,22,2,ALP,Australian Labor Party,1,27655,46.66
NSW,40,IND,Independent,22,4,LP,Liberal,2,20356,34.34
NSW,40,IND,Independent,22,20,NP,The Nationals,3,7523,12.69
NSW,40,IND,Independent,22,40,IND,Independent,22,3740,6.31
NSW,0,,First Preferences,9999,2,ALP,Australian Labor Party,1,1423017,41.94
NSW,0,,First Preferences,9999,4,LP,Liberal,2,1551436,45.72
NSW,0,,First Preferences,9999,20,NP,The Nationals,3,406233,11.97
NSW,0,,First Preferences,9999,40,IND,Independent,22,12574,0.37
VIC,2,ALP,Australian Labor Party,1,2,ALP,Australian Labor Party,1,0,0
VIC,2,ALP,Australian Labor Party,1,4,LP,Liberal,2,9101,35.84
VIC,2,ALP,Australian Labor Party,1,20,NP,The Nationals,3,7087,27.91
VIC,2,ALP,Australian Labor Party,1,37,GRN,The Greens,4,0,0
VIC,2,ALP,Australian Labor Party,1,40,IND,Independent,25,9207,36.26
VIC,4,LP,Liberal,2,2,ALP,Australian Labor Party,1,41060,68.4
VIC,4,LP,Liberal,2,4,LP,Liberal,2,0,0
VIC,4,LP,Liberal,2,20,NP,The Nationals,3,0,0
VIC,4,LP,Liberal,2,37,GRN,The Greens,4,18968,31.6
VIC,4,LP,Liberal,2,40,IND,Independent,25,0,0
VIC,20,NP,The Nationals,3,2,ALP,Australian Labor Party,1,1474,28.12
VIC,20,NP,The Nationals,3,4,LP,Liberal,2,3768,71.88
VIC,20,NP,The Nationals,3,20,NP,The Nationals,3,0,0
VIC,20,NP,The Nationals,3,37,GRN,The Greens,4,0,0
VIC,20,NP,The Nationals,3,40,IND,Independent,25,0,0
VIC,37,GRN,The Greens,4,2,ALP,Australian Labor Party,1,228401,82.76
VIC,37,GRN,The Greens,4,4,LP,Liberal,2,42171,15.28
VIC,37,GRN,The Greens,4,20,NP,The Nationals,3,2749,1
VIC,37,GRN,The Greens,4,37,GRN,The Greens,4,0,0
VIC,37,GRN,The Greens,4,40,IND,Independent,25,2663,0.96
VIC,100573,KAP,Katter's Australian Party,5,2,ALP,Australian Labor Party,1,5100,33.1
VIC,100573,KAP,Katter's Australian Party,5,4,LP,Liberal,2,8640,56.07
