2016 Federal Election House of Representatives Two Party Preferred By Division [Please Note: These results are not final. Event:20499 Phase:PostElection Generated:2016-07-11T14:15:00 Cycle:aa27abd4-7c37-47f0-a10e-ff39ec8636ed Created:2016-07-11T14:11:50 Environment:PROD Site:CDC Server:DB01 Version:10.4.37.36662]

DivisionNm,DivisionID,StateAb,PartyAb,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing

Adelaide,179,SA,,36226,45.25,43825,54.75,80051,-0.8

Aston,197,VIC,,45842,58.98,31887,41.02,77729,0.78

Ballarat,198,VIC,,38869,43.01,51493,56.99,90362,-2.1

Banks,103,NSW,,43425,51.79,40417,48.21,83842,-1.01

Barker,180,SA,,0,0,0,0,0,-66.55

Barton,104,NSW,,32315,41.81,44979,58.19,77294,-3.8

Bass,192,TAS,,26899,43.51,34925,56.49,61824,-10.53

Batman,199,VIC,,0,0,0,0,0,-29.02

Bendigo,200,VIC,,39938,46.14,46621,53.86,86559,-2.6

Bennelong,105,NSW,,49002,60.03,32628,39.97,81630,2.26

Berowra,106,NSW,,56512,66.86,28008,33.14,84520,-2.19

Blair,304,QLD,,30525,40.78,44331,59.22,74856,-3.96

Blaxland,107,NSW,,22495,29.68,53306,70.32,75801,-9.08

Bonner,310,QLD,,38468,53.08,34002,46.92,72470,-0.61

Boothby,182,SA,,45942,54.11,38967,45.89,84909,-3.01

Bowman,155,QLD,,48060,57.15,36031,42.85,84091,-1.71

Braddon,193,TAS,,29655,47.62,32614,52.38,62269,-4.94

Bradfield,108,NSW,,59177,71.59,23484,28.41,82661,0.65

Brand,235,WA,,26816,37.95,43841,62.05,70657,-8.34

Brisbane,156,QLD,,43867,55.89,34615,44.11,78482,1.61

Bruce,201,VIC,,36692,45.99,43085,54.01,79777,-2.21

Burt,317,WA,,28966,41.96,40070,58.04,69036,-14.13

Calare,109,NSW,,58487,62.14,35640,37.86,94127,-2.83

Calwell,203,VIC,,24411,31.38,53388,68.62,77799,-4.76

Canberra,101,ACT,,43598,41.84,60608,58.16,104206,-0.65

Canning,236,WA,,40991,56.3,31820,43.7,72811,-5.05

Capricornia,157,QLD,,40347,50.09,40197,49.91,80544,-0.68

Casey,204,VIC,,44685,56.01,35090,43.99,79775,-1.16

Chifley,111,NSW,,23886,30.43,54602,69.57,78488,-8.64

Chisholm,205,VIC,,38963,51.33,36951,48.67,75914,2.93

Cook,112,NSW,,53352,65.88,27628,34.12,80980,0.17

Corangamite,207,VIC,,46169,53.46,40195,46.54,86364,-0.48

Corio,208,VIC,,33901,39.84,51184,60.16,85085,-2.41

Cowan,237,WA,,36103,49.66,36603,50.34,72706,-4.86

Cowper,113,NSW,,0,0,0,0,0,-63.23

Cunningham,114,NSW,,32019,36.84,54895,63.16,86914,-1.87

Curtin,238,WA,,50611,71.18,20488,28.82,71099,2.96

Dawson,158,QLD,,43016,53.21,37821,46.79,80837,-4.37

Deakin,209,VIC,,42202,55.75,33496,44.25,75698,2.57

Denison,194,TAS,,0,0,0,0,0,-41.09

Dickson,252,QLD,,40343,51.4,38139,48.6,78482,-5.32

Dobell,115,NSW,,39053,44.89,47938,55.11,86991,-4.93

Dunkley,210,VIC,,40353,51.51,37981,48.49,78334,-4.06

Durack,312,WA,,40739,61.78,25198,38.22,65937,-3.26

Eden-Monaro,117,NSW,,41126,47.03,46312,52.97,87438,-5.88

Fadden,159,QLD,,48437,61.32,30551,38.68,78988,-3.04

Fairfax,160,QLD,,49460,60.98,31642,39.02,81102,-0.7

Farrer,118,NSW,,61670,70.5,25809,29.5,87479,-1.21

Fenner,102,ACT,,39988,35.95,71259,64.05,111247,-1.56

Fisher,161,QLD,,42835,59.38,29301,40.62,72136,-0.37

Flinders,211,VIC,,53443,58.04,38640,41.96,92083,-3.77

Flynn,311,QLD,,38832,50.27,38421,49.73,77253,-6.26

Forde,162,QLD,,40657,50.57,39740,49.43,80397,-3.81

Forrest,239,WA,,46970,62.25,28488,37.75,75458,-1.56

Fowler,119,NSW,,24506,32.01,52048,67.99,76554,-5.1

Franklin,195,TAS,,25090,39.14,39019,60.86,64109,-5.77

Fremantle,240,WA,,30575,43.09,40380,56.91,70955,-1.51

Gellibrand,212,VIC,,24409,31.23,53739,68.77,78148,-2.24

Gilmore,120,NSW,,48582,50.76,47122,49.24,95704,-3.02

Gippsland,213,VIC,,55984,68.69,25523,31.31,81507,2.85

Goldstein,214,VIC,,45962,62.29,27820,37.71,73782,1.26

Gorton,309,VIC,,24990,30.15,57908,69.85,82898,-3.73

Grayndler,121,NSW,,0,0,0,0,0,-31.24

Greenway,122,NSW,,35896,43.65,46346,56.35,82242,-3.37

Grey,183,SA,,0,0,0,0,0,-63.54

Griffith,163,QLD,,35619,48.12,38408,51.88,74027,1.22

Groom,164,QLD,,50522,64.82,27419,35.18,77941,-1.65

Hasluck,305,WA,,36155,52.3,32973,47.7,69128,-3.72

Herbert,165,QLD,,40481,49.9,40643,50.1,81124,-6.27

Higgins,215,VIC,,0,0,0,0,0,-59.93

Hindmarsh,185,SA,,45214,49.81,45566,50.19,90780,-2.08

Hinkler,166,QLD,,47351,58.23,33965,41.77,81316,-0.81

Holt,216,VIC,,30492,35.75,54808,64.25,85300,-5.16

Hotham,217,VIC,,33494,42.44,45431,57.56,78925,-0.29

Hughes,124,NSW,,49717,59.62,33670,40.38,83387,-2.19

Hume,125,NSW,,51818,60.52,33809,39.48,85627,-3.06

Hunter,126,NSW,,33009,37.2,55719,62.8,88728,-7.12

Indi,218,VIC,,0,0,0,0,0,-59.1

Isaacs,219,VIC,,35565,44.44,44462,55.56,80027,-1.7

Jagajaga,220,VIC,,37553,45.68,44660,54.32,82213,-1.19

Kennedy,167,QLD,,0,0,0,0,0,-67.15

Kingsford Smith,127,NSW,,33301,41.07,47787,58.93,81088,-6.19

Kingston,186,SA,,28728,32.89,58630,67.11,87358,-7.41

Kooyong,221,VIC,,46681,63.56,26760,36.44,73441,2.5

La Trobe,223,VIC,,38774,51.32,36778,48.68,75552,-2.69

Lalor,222,VIC,,32661,35.84,58462,64.16,91123,-2

Leichhardt,168,QLD,,43637,53.73,37584,46.27,81221,-1.95

Lilley,169,QLD,,38223,45.84,45157,54.16,83380,-2.84

Lindsay,128,NSW,,40592,48.82,42556,51.18,83148,-4.17

Lingiari,306,NT,,16733,41.17,23914,58.83,40647,-7.95

Longman,302,QLD,,39497,48.95,41188,51.05,80685,-7.97

Lyne,130,NSW,,56951,62.12,34723,37.88,91674,-1.4

Lyons,196,TAS,,29837,47.68,32743,52.32,62580,-3.54

Macarthur,131,NSW,,34410,41.46,48583,58.54,82993,-11.93

Mackellar,132,NSW,,53462,65.97,27575,34.03,81037,-2.87

Macquarie,133,NSW,,40278,47.79,44009,52.21,84287,-6.69

Makin,187,SA,,32937,40.34,48716,59.66,81653,-4.6

Mallee,224,VIC,,57855,71.64,22908,28.36,80763,-2.02

Maranoa,170,QLD,,47017,66.43,23755,33.57,70772,-5.85

Maribyrnong,225,VIC,,29873,37.76,49234,62.24,79107,-0.85

Mayo,188,SA,,0,0,0,0,0,-62.51

McEwen,226,VIC,,40979,42.05,56471,57.95,97450,-7.8

McMahon,315,NSW,,28323,37.58,47050,62.42,75373,-7.79

McMillan,227,VIC,,50415,56.7,38507,43.3,88922,-5.13

McPherson,171,QLD,,48237,61.81,29809,38.19,78046,-1.19

Melbourne,228,VIC,,0,0,0,0,0,-30.75

Melbourne Ports,230,VIC,,31276,47.83,34111,52.17,65387,1.39

Menzies,229,VIC,,44561,60.69,28869,39.31,73430,-3.76

Mitchell,134,NSW,,53879,68.37,24929,31.63,78808,-3.02

Moncrieff,172,QLD,,49237,65.04,26470,34.96,75707,-2.91

Moore,242,WA,,44413,60.9,28519,39.1,72932,-1.54

Moreton,173,QLD,,31502,45.89,37146,54.11,68648,-2.56

Murray,231,VIC,,0,0,0,0,0,-70.87

New England,135,NSW,,0,0,0,0,0,-69.54

Newcastle,136,NSW,,32138,35.87,57450,64.13,89588,-4.73

North Sydney,137,NSW,,48795,64.05,27384,35.95,76179,-1.66

O'Connor,243,WA,,21597,63.24,12554,36.76,34151,-2.18

Oxley,174,QLD,,29974,40.85,43405,59.15,73379,-5.38

Page,138,NSW,,51595,52.73,46250,47.27,97845,-0.37

Parkes,139,NSW,,55792,65.19,29796,34.81,85588,-4.78

Parramatta,140,NSW,,29663,42.37,40345,57.63,70008,-6.31

Paterson,249,NSW,,35823,38.87,56348,61.13,92171,-10.86

Pearce,244,WA,,37010,53.43,32264,46.57,69274,-5.88

Perth,245,WA,,33448,46.64,38263,53.36,71711,-1.18

Petrie,175,QLD,,41974,51.34,39787,48.66,81761,0.81

Port Adelaide,189,SA,,24700,29.01,60441,70.99,85141,-6.97

Rankin,176,QLD,,28990,38.43,46437,61.57,75427,-6.79

Reid,144,NSW,,41579,54.64,34522,45.36,76101,1.31

Richmond,145,NSW,,42523,46.56,48798,53.44,91321,-1.86

Riverina,250,NSW,,61041,66.43,30841,33.57,91882,-2.56

Robertson,146,NSW,,44755,51.24,42581,48.76,87336,-1.85

Ryan,177,QLD,,46540,59.44,31759,40.56,78299,0.9

Scullin,232,VIC,,25881,31.86,55365,68.14,81246,-3.79

Shortland,148,NSW,,35704,39.97,53625,60.03,89329,-2.63

Solomon,307,NT,,21931,43.49,28498,56.51,50429,-7.91

Stirling,246,WA,,38458,56.38,29755,43.62,68213,-2.59

Sturt,190,SA,,44017,56.59,33769,43.41,77786,-3.49

Swan,247,WA,,36578,53.45,31852,46.55,68430,-3.89

Sydney,149,NSW,,24020,34.64,45330,65.36,69350,-2.49

Tangney,248,WA,,44435,61.39,27951,38.61,72386,-1.63

Wakefield,191,SA,,34160,39.26,52841,60.74,87001,-7.34

Wannon,233,VIC,,46299,58.82,32415,41.18,78714,-1.25

Warringah,151,NSW,,47837,62.23,29034,37.77,76871,-3.09

Watson,251,NSW,,22657,31.84,48511,68.16,71168,-9.34

Wentworth,152,NSW,,42984,67.25,20937,32.75,63921,-1.67

Werriwa,153,NSW,,33913,41.83,47158,58.17,81071,-1.64

Whitlam,150,NSW,,32862,35.97,58497,64.03,91359,-7.12

Wide Bay,178,QLD,,44966,57.69,32975,42.31,77941,-5.47

Wills,234,VIC,,0,0,0,0,0,-29.24

Wright,316,QLD,,43516,59.53,29581,40.47,73097,-2.31

