2016 Federal Election House of Representatives Two Party Preferred By State [Please Note: These results are not final. Event:20499 Phase:PostElection Generated:2016-07-25T10:14:18 Cycle:5cb48a17-d08c-447a-9400-2e8973be2613 Created:2016-07-25T10:10:58 Environment:PROD Site:CDC Server:DB01 Version:10.4.37.36662]

StateAb,StateNm,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing

NSW,New South Wales,1997660,50.13,1987572,49.87,3985232,-4.22

VIC,Victoria,1401767,48.55,1485652,51.45,2887419,-1.25

QLD,Queensland,1395158,54,1188435,46,2583593,-2.98

WA,Western Australia,730600,54.68,605549,45.32,1336149,-3.6

SA,South Australia,327053,43.33,427826,56.67,754879,-9.03

TAS,Tasmania,122455,44.53,152513,55.47,274968,-4.24

ACT,Australian Capital Territory,97830,38.92,153548,61.08,251378,-1.17

NT,Northern Territory,41846,42.94,55614,57.06,97460,-7.41

