2013 Federal Election House of Representatives Two Party Preferred Flow of Preferences By State By Party [Event:17496 Phase:FinalResults Generated:2014-05-16T15:46:28 Cycle:0c99bed2-eba4-4ece-90c3-f17f74812c47 Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT02 Version:9.1.9.16053],,,,,,
StateAb,PartyAb,PartyNm,Australian Labor Party Transfer Votes,Australian Labor Party Transfer Percentage,Liberal/National Coalition Transfer Votes,Liberal/National Coalition Transfer Percentage
NSW,NP,The Nationals,2612,30.59,5927,69.41
NSW,GRN,The Greens,272802,82.65,57248,17.35
NSW,KAP,Katter's Australian Party,6673,40.36,9861,59.64
NSW,CDP,Christian Democratic Party,25232,28.49,63344,71.51
NSW,PUP,Palmer United Party,80374,46.05,94177,53.95
NSW,DLP,DLP - Democratic Labour Party,9629,56.95,7280,43.05
NSW,ON,One Nation,8894,45.57,10623,54.43
NSW,AFN,Australia First Party (NSW) Incorporated,2430,39.94,3654,60.06
NSW,BTA,Bullet Train For Australia,3939,48.19,4235,51.81
NSW,CEC,Citizens Electoral Council,2474,60.98,1583,39.02
NSW,RUA,Rise Up Australia Party,2324,42.65,3125,57.35
NSW,SPP,Stable Population Party,1181,52.61,1064,47.39
NSW,AIN,Australian Independents,1231,58.84,861,41.16
NSW,ASXP,Australian Sex Party,2022,61.42,1270,38.58
NSW,NCP,Non-Custodial Parents Party,784,58.86,548,41.14
NSW,SAL,Socialist Alliance,927,75.43,302,24.57
NSW,FUT,Future Party,453,65.37,240,34.63
NSW,SPA,Secular Party of Australia,405,67.28,197,32.72
NSW,VCE,Australian Voice Party,249,45.69,296,54.31
NSW,IND,Independent,37698,52.47,34150,47.53
NSW,,First Preferences,1433842,42.28,1957669,57.72
VIC,LP,Liberal,2152,9.21,21211,90.79
VIC,NP,The Nationals,1474,28.12,3768,71.88
VIC,GRN,The Greens,305290,85.83,50408,14.17
VIC,KAP,Katter's Australian Party,6104,39.61,9305,60.39
VIC,FFP,Family First,25719,43.38,33569,56.62
VIC,PUP,Palmer United Party,57676,48.21,61947,51.79
VIC,RUA,Rise Up Australia Party,7305,40.31,10819,59.69
