Source: http://www.tallyroom.com.au/26628,,,,,
Electorate,ALP,LNP,GRN,PUPOTH,
Banks,40.01,47.57,5.04,7.38,
Barton,44.6,35.13,10.14,10.13,
Bennelong,32.49,52.96,8.42,6.13,
Berowra,19.02,61.49,10.04,9.44,
Blaxland,53.3,35.03,3.32,8.35,
Bradfield,16.6,65.08,12.81,5.51,
Calare,26.24,56.55,5.04,12.17,
Chifley,52.67,31.8,2.66,12.87,
Cook,26.12,59.71,5.9,8.26,
Cowper,23.57,54.03,10.57,11.82,
Cunningham,47.01,32.41,11.36,9.22,
Dobell,36.47,40.75,4.87,17.91,
Eden-Monaro,35.92,46.38,7.45,10.25,
Farrer,20.18,61.54,3.96,14.32,
Fowler,59.49,29.43,3.3,7.78,
Gilmore,34.24,47.43,9.06,9.27,
Grayndler,44.38,30.18,20.4,5.04,
Greenway,44.47,39.96,3.63,11.95,
Hughes,29.7,55.52,5.88,8.89,
Hume,25.31,56.48,5.3,12.91,
Hunter,44.61,32.11,6.05,17.24,
Kingsford_Smith,42,43.47,9.82,4.7,
Lindsay,39,46.65,3.07,11.29,
Lyne,23.8,53.94,6.31,15.96,
Macarthur,37.95,45.7,4.13,12.21,
Mackellar,17.25,62.42,14.19,6.14,
Macquarie,30.97,47.4,11.1,10.53,
McMahon,46.76,42.46,3.06,7.73,
Mitchell,21.11,64.82,6.39,7.69,
New_England,13.74,53.95,4.75,27.57,
Newcastle,44.25,33.16,11.69,10.9,
North_Sydney,20.04,60.85,15.54,3.57,
Page,35.65,46.21,9.04,9.1,
Parkes,22.45,60.62,4.68,12.25,
Parramatta,42.24,43.44,5.22,9.1,
Paterson,39.75,41.12,6.32,12.81,
Reid,40.61,46.75,7.02,5.62,
Richmond,34.33,39.22,15.48,10.98,
Riverina,21.81,58.25,3.67,16.27,
Robertson,34.65,43.52,5.61,16.22,
Shortland,48.23,36.43,6.3,9.03,
Sydney,44.15,31.67,18.17,6.01,
Warringah,19.34,60.79,15.53,4.33,
Watson,50.55,36.45,6.24,6.77,
Wentworth,18.98,64.02,14.33,2.67,
Werriwa,50.21,35.07,3.23,11.49,
Whitlam,43.8,38.75,5.97,11.48,
