Source: http://www.abc.net.au/dat/news/elections/federal/2015/guide/WA_FinalBoundaries.pdf,,,,,
Electorate,ALP,LNP,GRN,PUP,OTH
Brand,41.2,37.7,7.4,7.7,6
Burt,33.1,45,7.4,7.2,7.3
Canning,26,53.3,7.2,6.4,7.1
Cowan,35.4,46.1,7.5,5.5,5.5
Curtin,17.2,62.9,14.9,2.7,2.3
Durack,20,61.7,6.9,6.6,4.8
Forrest,23.3,57.8,9.9,4.9,4.1
Fremantle,41.7,37,11.9,4.1,5.3
Hasluck,29.2,47.2,10.8,6.6,6.2
Moore,25.5,54.2,10,6.2,4.1
O_Connor,19.8,62,6.8,4.5,6.9
Pearce,26.2,52,9.4,7.8,4.6
Perth,38.8,41.7,12.1,3.2,4.2
Stirling,29.7,50.9,10.7,4,4.7
Swan,29.9,49.8,11.2,4.4,4.7
Tangney,25,56.1,11.1,4,3.8
