date,Labor2ppAUS,Pollster
23/03/96,44,Morgan
5/04/96,41.5,Morgan
6/04/96,43.5,Morgan
20/04/96,45.5,Morgan
5/05/96,40,Nielsen
18/05/96,42.5,Morgan
1/06/96,43,Morgan
2/06/96,45,Nielsen
16/06/96,43,Nielsen
22/06/96,45.5,Morgan
30/06/96,46,Nielsen
4/07/96,42,Morgan
14/07/96,44,Nielsen
18/07/96,42.5,Morgan
1/08/96,41.5,Morgan
11/08/96,49,Nielsen
15/08/96,43.5,Morgan
25/08/96,48,Nielsen
29/08/96,43.5,Morgan
12/09/96,46.5,Morgan
26/09/96,44,Morgan
6/10/96,45,Nielsen
10/10/96,45.5,Morgan
24/10/96,42,Morgan
3/11/96,44,Nielsen
7/11/96,43.5,Morgan
21/11/96,44,Morgan
1/12/96,46,Nielsen
5/12/96,44.5,Morgan
19/12/96,45.5,Morgan
16/01/97,43,Morgan
19/01/97,47,Nielsen
30/01/97,43.5,Morgan
13/02/97,46.5,Morgan
16/02/97,46,Nielsen
27/02/97,45.5,Morgan
13/03/97,42.5,Morgan
20/03/97,44.5,Morgan
26/03/97,47,Morgan
8/04/97,44.5,Morgan
10/04/97,44.5,Morgan
13/04/97,47,Nielsen
23/04/97,48,Morgan
27/04/97,48,Nielsen
4/05/97,50,Nielsen
15/05/97,48.5,Morgan
22/05/97,45,Morgan
25/05/97,50,Nielsen
5/06/97,45,Morgan
19/06/97,45.5,Morgan
3/07/97,48,Morgan
17/07/97,48,Morgan
31/07/97,49,Morgan
7/08/97,54.5,Morgan
16/08/97,46.5,Morgan
17/08/97,51,Nielsen
28/08/97,49,Morgan
11/09/97,48.5,Morgan
18/09/97,48,Morgan
25/09/97,50,Morgan
9/10/97,42.5,Morgan
12/10/97,50,Nielsen
16/10/97,53,Morgan
18/10/97,53,Nielsen
30/10/97,53.5,Morgan
13/11/97,53.5,Morgan
23/11/97,54,Nielsen
27/11/97,54.5,Morgan
11/12/97,48.5,Morgan
15/01/98,52,Morgan
29/01/98,52.5,Morgan
1/02/98,56,Nielsen
12/02/98,52.5,Morgan
26/02/98,51,Morgan
1/03/98,52,Nielsen
12/03/98,50,Morgan
26/03/98,50.5,Morgan
29/03/98,52,Nielsen
9/04/98,50,Morgan
16/04/98,47,Morgan
19/04/98,52,Nielsen
23/04/98,53.5,Morgan
30/04/98,50.5,Morgan
14/05/98,51.5,Morgan
24/05/98,52,Nielsen
28/05/98,53,Morgan
11/06/98,51.5,Morgan
18/06/98,53,Morgan
21/06/98,56,Nielsen
2/07/98,53.5,Morgan
12/07/98,57.5,Morgan
19/07/98,56,Nielsen
26/07/98,56,Morgan
9/08/98,58,Morgan
16/08/98,54.5,Morgan
23/08/98,54.5,Morgan
30/08/98,55.5,Morgan
1/09/98,51,Nielsen
6/09/98,51.5,Newspoll
6/09/98,54.5,Morgan
9/09/98,49,Nielsen
13/09/98,53,Newspoll
13/09/98,55,Morgan
15/09/98,52,Nielsen
16/09/98,52,Nielsen
20/09/98,52,Newspoll
20/09/98,55.5,Morgan
23/09/98,52,Nielsen
24/09/98,50.5,Morgan
27/09/98,51,Newspoll
29/09/98,50,Nielsen
1/10/98,50,Nielsen
1/10/98,53,Newspoll
18/10/98,46.68,Newspoll
18/10/98,51,Morgan
31/10/98,51,Morgan
1/11/98,52.49,Newspoll
1/11/98,54.5,Morgan
15/11/98,48.11,Newspoll
15/11/98,52.5,Morgan
29/11/98,48.54,Newspoll
29/11/98,55,Morgan
13/12/98,46.94,Newspoll
13/12/98,52,Morgan
17/01/99,46.37,Newspoll
17/01/99,54,Morgan
31/01/99,47.58,Newspoll
31/01/99,53.5,Morgan
14/02/99,48.74,Newspoll
14/02/99,52,Morgan
27/02/99,49,Nielsen
28/02/99,51,Morgan
14/03/99,50.94,Newspoll
14/03/99,55.5,Morgan
28/03/99,54,Morgan
11/04/99,51,Nielsen
